[2025-12-23T15:48:48.927237] File: test_slide1 | Vision: gemini-2.5-flash | Inpaint: opencv-telea | CodeGen: algorithmic
[2025-12-23T16:32:46.954599] File: test_slide1 | Vision: gemini-2.5-flash | Inpaint: opencv-telea | CodeGen: algorithmic
[2025-12-23T16:33:36.551446] File: test_slide1 | Vision: gemini-2.5-flash | Inpaint: opencv-telea | CodeGen: algorithmic
[2025-12-23T16:36:59.135867] File: test_slide1 | Vision: gemini-3-flash-preview | Inpaint: opencv-telea | CodeGen: algorithmic
[2025-12-23T16:50:37.655851] File: test_slide1 | Vision: gemini-3-flash-preview | Inpaint: opencv-telea | CodeGen: algorithmic
[2025-12-23T17:20:02.565623] File: test_slide3 | Vision: gemini-3-flash-preview | Inpaint: opencv-telea | CodeGen: algorithmic
[2025-12-23T17:21:37.096499] File: test_slide2 | Vision: gemini-3-flash-preview | Inpaint: opencv-telea | CodeGen: algorithmic
[2025-12-23T17:22:51.610805] File: test_slide4 | Vision: gemini-3-flash-preview | Inpaint: opencv-telea | CodeGen: algorithmic
[2025-12-23T17:29:16.522055] File: test_slide1 | Vision: gemini-3-flash-preview | Inpaint: opencv-telea | CodeGen: algorithmic
[2025-12-23T17:29:34.515875] File: test_slide3 | Vision: gemini-3-flash-preview | Inpaint: opencv-telea | CodeGen: algorithmic
[2025-12-23T17:29:36.245111] File: test_slide4 | Vision: gemini-3-flash-preview | Inpaint: opencv-telea | CodeGen: algorithmic
[2025-12-24T10:50:21.800059] File: test_slide11 | Vision: gemini-3-flash-preview | Inpaint: opencv-telea | CodeGen: algorithmic
[2025-12-24T10:50:57.663383] File: test_slide10 | Vision: gemini-3-flash-preview | Inpaint: opencv-telea | CodeGen: algorithmic
[2025-12-24T11:08:23.878116] File: test_slide11 | Vision: gemini-3-flash-preview | Inpaint: opencv-telea | CodeGen: algorithmic
[2025-12-24T11:08:39.815868] File: test_slide12 | Vision: gemini-3-flash-preview | Inpaint: opencv-telea | CodeGen: algorithmic
[2025-12-24T11:08:41.234656] File: test_slide13 | Vision: gemini-3-flash-preview | Inpaint: opencv-telea | CodeGen: algorithmic
[2025-12-24T11:12:06.532054] File: test_slide12 | Vision: gemini-3-flash-preview | Inpaint: opencv-telea | CodeGen: algorithmic
[2025-12-24T11:12:23.683007] File: test_slide13 | Vision: gemini-3-flash-preview | Inpaint: opencv-telea | CodeGen: algorithmic
[2025-12-24T11:16:35.743406] File: test_slide6 | Vision: gemini-3-flash-preview | Inpaint: opencv-telea | CodeGen: algorithmic
[2025-12-24T11:22:41.944475] File: test_slide2 | Vision: gemini-3-flash-preview | Inpaint: opencv-ns | CodeGen: algorithmic
